id_road_type,id,serial_number,session_id,date_start,date_end,start_time,end_time,exp_type,type_of_road
1,1,MA200-0420,49,2023-05-03,2023-05-03,08:02:00,08:05:00,mobile_monitoring,main_road
2,1,MA200-0420,49,2023-05-03,2023-05-03,07:33:00,08:01:30,mobile_monitoring,non_main_road
3,2,MA200-0420,49,2023-05-03,2023-05-03,08:10:00,08:21:00,mobile_monitoring,non_main_road
4,2,MA200-0420,49,2023-05-03,2023-05-03,08:21:30,08:26:30,mobile_monitoring,main_road
5,2,MA200-0420,49,2023-05-03,2023-05-03,08:27:00,08:33:30,mobile_monitoring,non_main_road
6,2,MA200-0420,49,2023-05-03,2023-05-03,08:33:59,08:38:30,mobile_monitoring,main_road
7,2,MA200-0420,49,2023-05-03,2023-05-03,08:39:00,08:46:00,mobile_monitoring,non_main_road
8,5,MA200-0416,56,2023-05-04,2023-05-04,07:31:00,07:59:00,mobile_monitoring,non_main_road
9,6,MA200-0416,56,2023-05-04,2023-05-04,08:08:00,08:16:00,mobile_monitoring,main_road
10,6,MA200-0416,56,2023-05-04,2023-05-04,08:16:30,08:41:00,mobile_monitoring,non_main_road
11,6,MA200-0416,56,2023-05-04,2023-05-04,08:41:30,08:41:59,mobile_monitoring,main_road
12,6,MA200-0416,56,2023-05-04,2023-05-04,08:42:00,08:50:00,mobile_monitoring,non_main_road
13,6,MA200-0416,56,2023-05-04,2023-05-04,08:50:30,09:03:00,mobile_monitoring,main_road
