id,main_exp
124,aae_1
125,aae_1
126,aae_2
127,aae_2
128,pre_stationary
129,pre_stationary
158,post_stationary
159,post_stationary
17,mobile_monitoring_1
18,mobile_monitoring_1
19,mobile_monitoring_1
20,mobile_monitoring_1
21,mobile_monitoring_1
22,mobile_monitoring_1
23,mobile_monitoring_1
24,mobile_monitoring_1
25,mobile_monitoring_1
26,mobile_monitoring_1
27,mobile_monitoring_1
28,mobile_monitoring_1
29,mobile_monitoring_1
30,mobile_monitoring_1
31,mobile_monitoring_1
32,mobile_monitoring_1
57,mobile_monitoring_2
58,mobile_monitoring_2
59,mobile_monitoring_2
60,mobile_monitoring_2
61,mobile_monitoring_2
62,mobile_monitoring_2
63,mobile_monitoring_2
64,mobile_monitoring_2
65,mobile_monitoring_2
66,mobile_monitoring_2
67,mobile_monitoring_2
68,mobile_monitoring_2
69,mobile_monitoring_2
70,mobile_monitoring_2
71,mobile_monitoring_2
72,mobile_monitoring_2
